size,cutoff,seed,success,time_sec,output
1000000,8,8,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,8,16,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,8,32,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,8,64,True,0.13,Sorting 1000000 elements took 0.13 seconds.
1000000,8,128,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,8,256,True,0.09,Sorting 1000000 elements took 0.09 seconds.
1000000,8,512,True,0.1,Sorting 1000000 elements took 0.10 seconds.
1000000,8,1024,True,0.15,Sorting 1000000 elements took 0.15 seconds.
1000000,8,2048,True,0.12,Sorting 1000000 elements took 0.12 seconds.
1000000,16,0,True,0.17,Sorting 1000000 elements took 0.17 seconds.
1000000,16,1,True,0.22,Sorting 1000000 elements took 0.22 seconds.
1000000,16,2,True,0.17,Sorting 1000000 elements took 0.17 seconds.
1000000,16,4,True,0.22,Sorting 1000000 elements took 0.22 seconds.
1000000,16,8,True,0.19,Sorting 1000000 elements took 0.19 seconds.
1000000,16,16,True,0.2,Sorting 1000000 elements took 0.20 seconds.
1000000,16,32,True,0.2,Sorting 1000000 elements took 0.20 seconds.
1000000,16,64,True,0.21,Sorting 1000000 elements took 0.21 seconds.
1000000,16,128,True,0.24,Sorting 1000000 elements took 0.24 seconds.
1000000,16,256,True,0.17,Sorting 1000000 elements took 0.17 seconds.
1000000,16,512,True,0.15,Sorting 1000000 elements took 0.15 seconds.
1000000,16,1024,True,0.19,Sorting 1000000 elements took 0.19 seconds.
1000000,16,2048,True,0.17,Sorting 1000000 elements took 0.17 seconds.
